StationID,B,Bw,Bh,G,Gw,Gh,S,Sw,Sh
500229022,2194,1528,666,6581,4399,2182,136,108,28
500229023,1051,763,288,7707,5153,2554,153,119,34
500229024,1856,1599,257,6969,4390,2579,86,46,40
500229025,2260,1796,464,6360,4060,2300,291,179,112
500229026,832,668,164,7965,5260,2705,114,107,7
500229027,1192,1047,145,7346,4709,2637,373,279,94
500229028,1531,1207,324,6956,4536,2420,424,292,132
500229029,1837,1667,170,6804,4118,2686,270,250,20
500229030,1443,1323,120,7278,4555,2723,190,157,33
500229031,2186,1710,476,6609,4270,2339,116,55,61
500229032,1164,887,277,7472,5035,2437,275,113,162
500229033,810,566,244,8007,5398,2609,94,71,23
500229034,25,25,0,8833,5998,2835,53,12,41
500229035,1353,1229,124,7513,4774,2739,45,32,13
500229036,756,642,114,7938,5187,2751,217,206,11
500229037,948,626,322,7598,5119,2479,365,290,75
500229038,945,781,164,7547,4992,2555,419,262,157
500229039,1860,1211,649,6750,4535,2215,301,289,12
500229040,1524,1250,274,7337,4747,2590,50,38,12
500229041,2390,1800,590,6473,4222,2251,48,13,35
500229042,1737,1089,648,7055,4827,2228,119,119,0
500229043,551,515,36,8360,5520,2840,0,0,0
500229044,1909,1498,411,6792,4411,2381,210,126,84
500229045,1611,1220,391,6973,4521,2452,327,294,33
500229046,1191,892,299,7574,5021,2553,146,122,24
500229047,607,450,157,8081,5519,2562,223,66,157
500229048,1498,1189,309,7222,4740,2482,191,106,85
500229049,2205,1642,563,6434,4209,2225,272,184,88
500229050,416,292,124,8492,5743,2749,3,0,3
500229051,409,213,196,8414,5744,2670,88,78,10
